name,location,rating,imageUrl,crowdLevel,description,latitude,longitude
"Pura Tirta Empul","Tampaksiring, Gianyar",4.7,"https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800","High","Famous Hindu Balinese water temple with fresh-water purification pools.",-8.428618,115.315053
"Pura Mengning","Tampaksiring, Gianyar",4.8,"https://images.unsplash.com/photo-1508672019048-805c876b67e2?w=800","Small","Quiet water temple for tranquil self-purification without queues.",-8.424424,115.312948
"Lovina Beach","Buleleng, North Bali",4.6,"https://images.unsplash.com/photo-1559128010-7c1ad6e1b6a5?w=800","Small","A tranquil strip of black sand beaches offering dolphin watching tours at sunrise.",-8.163611,115.022222
"Pantai Penimbangan","Singaraja, Buleleng",4.5,"https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800","Small","Charming beach in North Bali popular with locals, featuring food stalls and a turtle hatchery.",-8.1062,115.0682
"Jatiluwih Rice Terraces","Tabanan, West Bali",4.9,"https://images.unsplash.com/photo-1508672019048-805c876b67e2?w=800","Small","Lush green terraced hillsides that offer a breath of fresh air and peaceful sightseeing.",-8.370556,115.130556
"Pura Besakih","Rendang, Karangasem",4.8,"https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800","High","The Mother Temple of Bali, a grand Hindu complex situated on the slopes of Mount Agung.",-8.3742,115.4508
"Tanah Lot Temple","Kediri, Tabanan",4.7,"https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800","High","Iconic sea temple perched on a dramatic rock formation in the crashing waves.",-8.6212,115.0868
"Uluwatu Temple","Pecatu, South Kuta",4.8,"https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800","High","Spectacular clifftop temple overlooking the Indian Ocean, famous for sunset Kecak dances.",-8.8291,115.0849
"Tegallalang Rice Terraces","Tegallalang, Gianyar",4.6,"https://images.unsplash.com/photo-1508672019048-805c876b67e2?w=800","High","A scenic valley of terraced rice fields offering iconic viewpoints and walking paths.",-8.4312,115.2798
"Sekumpul Waterfall","Sawan, Buleleng",4.9,"https://images.unsplash.com/photo-1546548970-71785318a17b?w=800","Small","One of Bali's most majestic waterfalls, a hidden cluster of cascades deep in the jungle.",-8.1742,115.1822
"Gitgit Waterfall","Sukasada, Buleleng",4.5,"https://images.unsplash.com/photo-1546548970-71785318a17b?w=800","Moderate","Classic tropical waterfall located in a lush green valley with easy forest walking trails.",-8.2045,115.1388
"Mount Batur Sunrise Trek","Kintamani, Bangli",4.8,"https://images.unsplash.com/photo-1508672019048-805c876b67e2?w=800","High","An active volcano climb popular for watching sunrise over Lake Batur and Lombok.",-8.2418,115.3783
"Tirta Gangga Water Palace","Ababi, Karangasem",4.7,"https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800","High","A beautiful royal garden featuring maze-like koi ponds, stone carvings, and stepping stones.",-8.4022,115.5873
"Lempuyang Temple","Abang, Karangasem",4.6,"https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800","High","Famous clifftop temple complex featuring the Gate of Heaven looking toward Mount Agung.",-8.3892,115.6318
"Kelingking Beach","Nusa Penida",4.8,"https://images.unsplash.com/photo-1559128010-7c1ad6e1b6a5?w=800","High","Stunning, world-famous cliff view shaped like a T-Rex overlooking a white sand beach.",-8.7368,115.4749
"Angel's Billabong","Nusa Penida",4.5,"https://images.unsplash.com/photo-1559128010-7c1ad6e1b6a5?w=800","Moderate","A natural rock infinity pool with crystal clear waters opening straight to the ocean.",-8.7329,115.4492
"Crystal Bay","Nusa Penida",4.6,"https://images.unsplash.com/photo-1559128010-7c1ad6e1b6a5?w=800","Moderate","A palm-fringed quiet bay famous for pristine white sand and fantastic sunset snorkeling.",-8.7142,115.4618
"Pantai Pandawa","Kutuh, South Kuta",4.6,"https://images.unsplash.com/photo-1559128010-7c1ad6e1b6a5?w=800","Moderate","Wide white sand beach hidden behind giant limestone cliffs with sea kayaks.",-8.8452,115.1862
"Campuhan Ridge Walk","Ubud, Gianyar",4.7,"https://images.unsplash.com/photo-1508672019048-805c876b67e2?w=800","Moderate","A scenic walking path along green hillsides offering views of lush river valleys.",-8.5034,115.2536
"Bali Botanic Garden","Bedugul, Tabanan",4.8,"https://images.unsplash.com/photo-1508672019048-805c876b67e2?w=800","Small","A massive, tranquil botanic reserve featuring forest pathways, glasshouses, and giant trees.",-8.2789,115.1483
"Pura Ulun Danu Bratan","Bedugul, Tabanan",4.8,"https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800","High","A scenic temple built on the shores of Lake Bratan, appearing to float on water.",-8.2752,115.1668
"Munduk Waterfall","Munduk, Buleleng",4.7,"https://images.unsplash.com/photo-1546548970-71785318a17b?w=800","Small","A quiet, cooling forest waterfall trek surrounded by clove and coffee plantations.",-8.2612,115.0628
"Blue Lagoon Beach","Padangbai, Karangasem",4.5,"https://images.unsplash.com/photo-1559128010-7c1ad6e1b6a5?w=800","Moderate","A hidden white sand cove popular for diving, snorkeling, and fresh seafood stalls.",-8.5305,115.5138
"Bukit Asah Bugbug","Candidasa, Karangasem",4.7,"https://images.unsplash.com/photo-1508672019048-805c876b67e2?w=800","Small","A peaceful cliffside grassy meadow ideal for ocean-view camping and sunset picnics.",-8.4942,115.5788
"Bias Tugel Beach","Padangbai, Karangasem",4.8,"https://images.unsplash.com/photo-1559128010-7c1ad6e1b6a5?w=800","Small","A secluded, quiet pocket of white sand with turquoise tide pools and blowholes.",-8.5369,115.5082
"Pemuteran Bay Reef","Pemuteran, Buleleng",4.7,"https://images.unsplash.com/photo-1559128010-7c1ad6e1b6a5?w=800","Small","Quiet coastal bay containing the world's largest Biorock artificial coral reef project.",-8.1482,114.6542
"Menjangan Island","West Bali National Park",4.9,"https://images.unsplash.com/photo-1559128010-7c1ad6e1b6a5?w=800","Small","Uninhabited nature reserve islet famous for pristine coral walls and deer sightings.",-8.0934,114.5168
"Banyumala Twin Waterfalls","Wanagiri, Buleleng",4.8,"https://images.unsplash.com/photo-1546548970-71785318a17b?w=800","Small","A spectacular pair of hidden waterfalls tumbling down a lush, mossy cliff wall.",-8.2178,115.1012
"West Bali National Park","Sumberklampok, Buleleng",4.6,"https://images.unsplash.com/photo-1508672019048-805c876b67e2?w=800","Small","A protected sanctuary of savannahs, mangroves, and monsoon forests home to the Bali Starling.",-8.1368,114.4789
"Yeh Leh Beach","Pengeragoan, Jembrana",4.4,"https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800","Small","An offbeat beach covered in thousands of smooth boulders, perfect for sunset photography.",-8.4082,114.9212
"Bukit Kursi Hike","Pemuteran, Buleleng",4.8,"https://images.unsplash.com/photo-1508672019048-805c876b67e2?w=800","Small","A green ridge hike that rewards you with spectacular views of Pemuteran Bay and quiet temples.",-8.156689,114.611181
